2017-10-27 10:03:13,717 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0x1a4 zxid:0x80c4 txntype:-1 reqpath:n/a Error Path:/brokers/topics/demo-topic/partitions/2 Error:KeeperErrorCode = NoNode for /brokers/topics/demo-topic/partitions/2
2017-10-27 10:03:13,720 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0x1a7 zxid:0x80c7 txntype:-1 reqpath:n/a Error Path:/brokers/topics/demo-topic/partitions/1 Error:KeeperErrorCode = NoNode for /brokers/topics/demo-topic/partitions/1
2017-10-27 10:03:14,032 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@486] - Processed session termination for sessionid: 0x15f5b89c02f0001
2017-10-27 10:03:14,035 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1044] - Closed socket connection for client /127.0.0.1:50389 which had sessionid 0x15f5b89c02f0001
2017-10-27 10:06:23,733 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:50435
2017-10-27 10:06:23,739 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@942] - Client attempting to establish new session at /127.0.0.1:50435
2017-10-27 10:06:23,741 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@687] - Established session 0x15f5b89c02f0002 with negotiated timeout 10000 for client /127.0.0.1:50435
2017-10-27 10:06:24,114 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@486] - Processed session termination for sessionid: 0x15f5b89c02f0002
2017-10-27 10:06:24,115 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1044] - Closed socket connection for client /127.0.0.1:50435 which had sessionid 0x15f5b89c02f0002
2017-10-27 10:07:09,416 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:50453
2017-10-27 10:07:09,423 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@942] - Client attempting to establish new session at /127.0.0.1:50453
2017-10-27 10:07:09,426 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@687] - Established session 0x15f5b89c02f0003 with negotiated timeout 10000 for client /127.0.0.1:50453
2017-10-27 10:07:09,999 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@486] - Processed session termination for sessionid: 0x15f5b89c02f0003
2017-10-27 10:07:10,000 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1044] - Closed socket connection for client /127.0.0.1:50453 which had sessionid 0x15f5b89c02f0003
2017-10-27 10:08:56,755 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:50478
2017-10-27 10:08:56,761 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@942] - Client attempting to establish new session at /127.0.0.1:50478
2017-10-27 10:08:56,763 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@687] - Established session 0x15f5b89c02f0004 with negotiated timeout 10000 for client /127.0.0.1:50478
2017-10-27 10:08:57,175 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@486] - Processed session termination for sessionid: 0x15f5b89c02f0004
2017-10-27 10:08:57,184 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxn@1044] - Closed socket connection for client /127.0.0.1:50478 which had sessionid 0x15f5b89c02f0004
